comment;pageid;title;timestamp;top;userid;revid;user;parentid;ns;minor;size;new
/* Keemia */;48010;Viski;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=20, tm_hour=10, tm_min=18, tm_sec=3, tm_wday=4, tm_yday=324, tm_isdst=-1);;32843;4312273;R1stoR;4312094;0;;13386;
Uus lehekülg: '[[Pilt:H_bridge.svg|thumb|Punaselt on välja toodud H-silla skeem]]  '''H-sild on''' [[elektroonikalülitus]], mis võimaldab rakendada seadmele või koormisele pinget mõlemas s...';420717;H-sild;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=18, tm_hour=9, tm_min=56, tm_sec=20, tm_wday=2, tm_yday=322, tm_isdst=-1);;63629;4310902;Ragnarma;0;0;;5015;
Uus lehekülg: '[[Pilt:H_bridge.svg|thumb|Punaselt on välja toodud H-silla skeem]]  '''H-sild on''' [[elektroonikalülitus]], mis võimaldab rakendada seadmele või koormisele pinget mõlemas s...';420717;H-sild;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=18, tm_hour=9, tm_min=56, tm_sec=20, tm_wday=2, tm_yday=322, tm_isdst=-1);;63629;4310902;Ragnarma;0;0;;5015;
;419961;Kasutaja:SKuusemets/Linux;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=21, tm_min=53, tm_sec=51, tm_wday=0, tm_yday=327, tm_isdst=-1);;83497;4314754;SKuusemets;4314753;2;;18659;
;419828;Kasutaja:Zimzu/SuperH;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=9, tm_hour=14, tm_min=12, tm_sec=50, tm_wday=0, tm_yday=313, tm_isdst=-1);;54176;4304317;Zimzu;4304315;2;;9805;
;417005;Kasutaja:Agrete/Võõr-kõverharjak;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=19, tm_hour=7, tm_min=22, tm_sec=44, tm_wday=3, tm_yday=323, tm_isdst=-1);;81858;4311538;Agrete;4311237;2;;9539;
;418318;Kasutaja:Birgitsaare/ACE geen ja sporditulemused;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=19, tm_min=9, tm_sec=24, tm_wday=0, tm_yday=327, tm_isdst=-1);;82925;4314627;Birgitsaare;4314562;2;;9022;
;419968;Kasutaja:Bkalgan/Metsunel;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=20, tm_min=44, tm_sec=54, tm_wday=0, tm_yday=327, tm_isdst=-1);;81972;4314707;Bkalgan;4314682;2;;9423;
pealkirjade suuruse muutus. :);416715;Kasutaja:Ceccill/etoloogia;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=19, tm_hour=18, tm_min=6, tm_sec=29, tm_wday=3, tm_yday=323, tm_isdst=-1);;58765;4311949;Ceccill;4311947;2;;13286;
;228954;Metaani oksüdeerivad bakterid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=16, tm_min=1, tm_sec=17, tm_wday=6, tm_yday=326, tm_isdst=-1);;82031;4313748;Eainelo;3553441;0;;11480;
;419952;Kasutaja:HannaAntson/Kaasasündinud südamedefektid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=9, tm_hour=22, tm_min=11, tm_sec=51, tm_wday=0, tm_yday=313, tm_isdst=-1);;82027;4305061;HannaAntson;4305059;2;;9033;
;419703;Kasutaja:JKPedor/Koekiip;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=18, tm_min=3, tm_sec=2, tm_wday=2, tm_yday=329, tm_isdst=-1);;82185;4316263;JKPedor;4316254;2;;13555;
;419552;Kasutaja:KKarsna/Niidukoosluse taastamine;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=16, tm_min=40, tm_sec=44, tm_wday=6, tm_yday=326, tm_isdst=-1);;81988;4313787;KKarsna;4313782;2;;9233;
;420101;Kasutaja arutelu:KSatsi/Parvoviirus;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=16, tm_min=15, tm_sec=33, tm_wday=1, tm_yday=328, tm_isdst=-1);;82305;4315431;KSatsi;4313026;3;;2187;
;419832;Kasutaja:KStseglova/Trichomonas gallinae;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=13, tm_min=40, tm_sec=3, tm_wday=2, tm_yday=329, tm_isdst=-1);;81957;4316079;KStseglova;4316078;2;;56;
/* Artiklid */;299993;Vikipeedia:Väljendusõpetus/Bioloogia;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=18, tm_min=21, tm_sec=0, tm_wday=2, tm_yday=329, tm_isdst=-1);;82066;4316279;Ktihkan;4316277;4;;3472;
/* Artiklid */;299993;Vikipeedia:Väljendusõpetus/Bioloogia;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=18, tm_min=21, tm_sec=0, tm_wday=2, tm_yday=329, tm_isdst=-1);;82066;4316279;Ktihkan;4316277;4;;3472;
;419900;Kasutaja:Kvaikull/Juhuleiud;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=18, tm_min=10, tm_sec=31, tm_wday=1, tm_yday=328, tm_isdst=-1);;82018;4315541;Kvaikull;4315492;2;;11700;
;419712;Kasutaja:LAkirs/ürasklased;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=10, tm_min=48, tm_sec=44, tm_wday=1, tm_yday=328, tm_isdst=-1);;81977;4315173;LAkirs;4314844;2;;9900;
;419410;Kasutaja:Lots94/Kortikosteroon;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=11, tm_min=22, tm_sec=25, tm_wday=0, tm_yday=327, tm_isdst=-1);;81983;4314350;Lots94;4313990;2;;11274;
;419685;Kasutaja:Lsinkejeva/Antropotseen;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=18, tm_min=4, tm_sec=34, tm_wday=1, tm_yday=328, tm_isdst=-1);;81950;4315522;Lsinkejeva;4311424;2;;17223;
/* Bioloogilised tagajärjed */;419898;Kasutaja:MLaissaar/Metsade fragmenteerumine;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=9, tm_min=37, tm_sec=26, tm_wday=2, tm_yday=329, tm_isdst=-1);;83217;4315921;MLaissaar;4315920;2;;14786;
;419725;Kasutaja:MPaern/Nahkhiirlased;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=1, tm_min=16, tm_sec=21, tm_wday=1, tm_yday=328, tm_isdst=-1);;81989;4314894;MPaern;4314893;2;;12931;
;419982;Kasutaja:Meverk/Harilik sinikiil;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=10, tm_hour=0, tm_min=16, tm_sec=49, tm_wday=1, tm_yday=314, tm_isdst=-1);;83501;4305134;Meverk;4305071;2;;13438;
;119095;Randal;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=16, tm_min=20, tm_sec=38, tm_wday=6, tm_yday=326, tm_isdst=-1);;82006;4313765;Mluuk;4301882;0;;14663;
;419980;Kasutaja:Oarg/Glutatioon;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=11, tm_min=19, tm_sec=4, tm_wday=0, tm_yday=327, tm_isdst=-1);;83254;4314347;Oarg;4314346;2;;21912;
;419978;Kasutaja:RLuik/Liigilise mitmekesisuse laiuskraadiline gradient;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=13, tm_hour=16, tm_min=40, tm_sec=8, tm_wday=4, tm_yday=317, tm_isdst=-1);;82416;4307608;RLuik;4304742;2;;11801;
Uus lehekülg: '[[Pilt:Image DNA sequence - png.png|thumb|DNA-ahelate järjestus, mis on kujutatud nukleotiidide ühetäheliste vastetena]] '''BLAST'''[[algoritm|-algoritm]] on töövahend Bio...';419221;BLAST;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=2, tm_hour=17, tm_min=59, tm_sec=46, tm_wday=0, tm_yday=306, tm_isdst=-1);;62201;4297744;R kaiv;0;0;;10195;
;419994;Kasutaja:Wluik/Vangistus(loomad);time.struct_time(tm_year=2015, tm_mon=11, tm_mday=18, tm_hour=21, tm_min=36, tm_sec=42, tm_wday=2, tm_yday=322, tm_isdst=-1);;83385;4311382;Wluik;4311349;2;;10014;
;419841;Kasutaja:Aaasmaa/Voronoi diagramm;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=20, tm_min=30, tm_sec=5, tm_wday=0, tm_yday=327, tm_isdst=-1);;83345;4314696;Aaasmaa;4314692;2;;10919;
;293470;Monte Carlo meetodid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=10, tm_min=15, tm_sec=35, tm_wday=0, tm_yday=327, tm_isdst=-1);;82978;4314277;Aarerobert;3944095;0;;13375;
;419946;Kasutaja:Aleksander Koljazin/Radiograafia;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=21, tm_min=43, tm_sec=47, tm_wday=0, tm_yday=327, tm_isdst=-1);;83494;4314747;Aleksander Koljazin;4314728;2;;11104;
;419659;Kasutaja:Gküppas/Abell 3827;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=16, tm_min=59, tm_sec=43, tm_wday=2, tm_yday=329, tm_isdst=-1);;83405;4316194;Gküppas;4316173;2;;13215;
;419659;Kasutaja:Gküppas/Abell 3827;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=9, tm_min=24, tm_sec=39, tm_wday=0, tm_yday=327, tm_isdst=-1);;83037;4314244;GutnarLeede;4314231;2;;11868;
;419651;Kasutaja:Martin Kortspärn/Neeldumine;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=15, tm_min=23, tm_sec=26, tm_wday=6, tm_yday=326, tm_isdst=-1);;83396;4313692;Martin Kortspärn;4313668;2;;9772;
Lehekülg asendatud tekstiga 'Artikkel on nüüd leitav [[Sümbol|siit]]';419925;Kasutaja:Mhorn11/Sümbol;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=18, tm_min=1, tm_sec=33, tm_wday=6, tm_yday=326, tm_isdst=-1);;71924;4313867;Mhorn11;4313835;2;;42;
;7069;Kilogramm;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=18, tm_min=7, tm_sec=52, tm_wday=6, tm_yday=326, tm_isdst=-1);;71160;4313875;Mliivak;4313873;0;;23164;
;419808;Kasutaja:Mooritsmihkel/Universum;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=14, tm_min=1, tm_sec=6, tm_wday=6, tm_yday=326, tm_isdst=-1);;81966;4313622;Mooritsmihkel;4313601;2;;11294;
;419649;Kasutaja:Oaava/Kosmiline tolm;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=14, tm_min=29, tm_sec=5, tm_wday=2, tm_yday=329, tm_isdst=-1);;82385;4316098;Oaava;4316094;2;;10343;
;419969;Kasutaja:Rkulashenkov/Meditsiiniline pildistamine.;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=9, tm_hour=18, tm_min=58, tm_sec=34, tm_wday=0, tm_yday=313, tm_isdst=-1);;83505;4304696;Rkulashenkov;4304690;2;;9032;
/* Väljavõrrandid */;421051;Kasutaja:Ruusr/Teleparalleelne gravitatsioon;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=11, tm_min=36, tm_sec=14, tm_wday=2, tm_yday=329, tm_isdst=-1);;83392;4315983;Ruusr;4314245;2;;11596;
Uus lehekülg: 'Fourier' rida (või ka Fourier' rittaarendus) on viis esitada perioodilist signaali või perioodilist impulsside jada siinuste summana. Summat saab esitada komplekssete astendaja...';421252;Fourier' rida;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=25, tm_hour=17, tm_min=40, tm_sec=39, tm_wday=2, tm_yday=329, tm_isdst=-1);;81982;4316236;Vippv;0;0;;9083;
;419535;Kasutaja:ANoorem/Tsütopaatiline efekt;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=17, tm_hour=20, tm_min=28, tm_sec=43, tm_wday=1, tm_yday=321, tm_isdst=-1);;82043;4310620;ANoorem;4300078;2;;9612;
;419776;Kasutaja:A H Laarmann/Hedgehog signaalirada;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=13, tm_min=42, tm_sec=40, tm_wday=0, tm_yday=327, tm_isdst=-1);;81956;4314447;A H Laarmann;4313205;2;;12246;
;419945;Kasutaja:Arikken/Kasvuhormoon;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=9, tm_hour=16, tm_min=46, tm_sec=37, tm_wday=0, tm_yday=313, tm_isdst=-1);;83475;4304505;Arikken;4304393;2;;10294;
;417919;Kasutaja:Asmertina/SNPde annotatsioon;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=5, tm_hour=6, tm_min=19, tm_sec=57, tm_wday=3, tm_yday=309, tm_isdst=-1);;81708;4299358;Asmertina;4296951;2;;17761;
Uus lehekülg: ''''Proteiinkinaas B ''' (PKB, tuntud ka kui '''AKT ''') on seriin- või treoniinkinaas, mis reguleerib substraate [[Fosforüülumine|fosforüleerides]] mitmeid olulisi protsesse...';419411;Proteiinkinaas B;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=5, tm_hour=7, tm_min=1, tm_sec=46, tm_wday=3, tm_yday=309, tm_isdst=-1);;81590;4299360;EHErvin;0;0;;22835;
;419228;Kasutaja:EMOja/Ric-8;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=18, tm_hour=19, tm_min=18, tm_sec=55, tm_wday=2, tm_yday=322, tm_isdst=-1);;81947;4311232;EMOja;4311231;2;;14779;
;418513;Kasutaja arutelu:ERAntson/Priionid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=56, tm_sec=55, tm_wday=4, tm_yday=324, tm_isdst=-1);;81981;4312357;ERAntson;4312356;3;;1819;
/* Definitsioon */;420000;Kasutaja:GSalnikov/Imputeerimine;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=16, tm_hour=19, tm_min=2, tm_sec=51, tm_wday=0, tm_yday=320, tm_isdst=-1);;83517;4309786;GSalnikov;4309779;2;;13347;
Uus lehekülg: '[[Pilt:PBluescript (2).png|pisi|Illustratiivne joonis plasmiidsest vektorist pBluescript II KS.]] [[Molekulaarbioloogia|Molekulaarbioloogias]] mõistetakse '''kloneerimisvektori'...';420606;Kloneerimisvektor;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=16, tm_hour=20, tm_min=35, tm_sec=44, tm_wday=0, tm_yday=320, tm_isdst=-1);;82007;4309834;Gagur94;0;0;;11608;
JLuige teisaldas lehekülje [[Kasutaja:JLuige/RNA polümeraas]] pealkirja [[RNA polümeraas]] alla;420192;Kasutaja:JLuige/RNA polümeraas;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=11, tm_hour=22, tm_min=27, tm_sec=58, tm_wday=2, tm_yday=315, tm_isdst=-1);;81739;4306329;JLuige;0;2;;26;
;418815;Kasutaja:Johanakoppel/Lap-süsteem;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=19, tm_hour=21, tm_min=43, tm_sec=59, tm_wday=3, tm_yday=323, tm_isdst=-1);;81979;4312041;Johanakoppel;4300721;2;;18346;
Uus lehekülg: '[[Pilt:V-ATPaas-et.png|pisi|right|V-ATPaas]]  Vakuolaarset-tüüpi H<sup>+</sup> -ATPaasid ('''V-ATPaasid''') on kõrgelt konserveerunud evolutsiooniliselt vanad ensüüm|ensü...';419812;V-tüüpi ATPaasid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=8, tm_hour=20, tm_min=53, tm_sec=46, tm_wday=6, tm_yday=312, tm_isdst=-1);;82020;4303401;Jpaats;0;0;;22793;
;263918;Allosteeriline regulatsioon;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=2, tm_hour=15, tm_min=0, tm_sec=56, tm_wday=0, tm_yday=306, tm_isdst=-1);;81681;4297581;KKpuss;4085506;0;;13079;
Uus lehekülg: ''''OCT4''' ehk '''oktameeri siduv [[transkriptsioonifaktor]]''' on POU perekonda kuuluv [[valgud|valk]], mida kodeerib POU5F1 ehk OCT4 [[geen]]. OCT4 transkriptsioonifaktoril on...';419887;OCT4;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=9, tm_hour=8, tm_min=28, tm_sec=24, tm_wday=0, tm_yday=313, tm_isdst=-1);;81969;4303906;KUudeküll;0;0;;12822;
/* Allikad */;415514;Ogataea polymorpha;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=16, tm_min=39, tm_sec=9, tm_wday=6, tm_yday=326, tm_isdst=-1);;81558;4313786;Kadri.maal;4313785;0;;13041;
;419998;Kasutaja:Karinasiimberg/Ross River viirus;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=18, tm_min=19, tm_sec=28, tm_wday=1, tm_yday=328, tm_isdst=-1);;83515;4315563;Karinasiimberg;4315532;2;;10064;
;419681;Kasutaja:Kjoandi/DNA tüpiseerimine;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=19, tm_hour=9, tm_min=43, tm_sec=42, tm_wday=3, tm_yday=323, tm_isdst=-1);;82013;4311593;Kjoandi;4311580;2;;11963;
/* Viburite paigutus */;419404;Kasutaja:Kjürgenstein/Vibur;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=6, tm_min=43, tm_sec=27, tm_wday=1, tm_yday=328, tm_isdst=-1);;81990;4315028;Kjürgenstein;4311905;2;;12378;
"Uus lehekülg: ''''Voogamine''' (''swarming'') on [[Bakterid|bakterite]] koordineeritud kollektiivne liikumine üle tahke pinna pöörleva [[Vibur|viburi]] jõul.<ref name=""selfassembly"" /> See...'";419238;Voogamine;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=2, tm_hour=21, tm_min=17, tm_sec=4, tm_wday=0, tm_yday=306, tm_isdst=-1);;82008;4297851;LMKimmel;0;0;;12078;
;419044;Kasutaja:MKaare/Adhesioonimolekulid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=21, tm_hour=10, tm_min=30, tm_sec=56, tm_wday=5, tm_yday=325, tm_isdst=-1);;81997;4312876;MKaare;4312873;2;;13624;
;419629;Kasutaja:MLeevik/Geeniteraapia;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=12, tm_min=32, tm_sec=18, tm_wday=0, tm_yday=327, tm_isdst=-1);;81953;4314393;MLeevik;4314320;2;;18400;
/* Mõju intronitele */;419910;Kasutaja:MSarapuu/Mikrosatelliidid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=23, tm_min=8, tm_sec=20, tm_wday=1, tm_yday=328, tm_isdst=-1);;82023;4315741;MSarapuu;4315738;2;;15754;
;419710;Kasutaja:MTänava/Replisoom;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=19, tm_hour=10, tm_min=3, tm_sec=35, tm_wday=3, tm_yday=323, tm_isdst=-1);;82012;4311608;MTänava;4311606;2;;17935;
;416225;Kasutaja:MirellJ/Telomeraas;time.struct_time(tm_year=2015, tm_mon=10, tm_mday=29, tm_hour=17, tm_min=50, tm_sec=19, tm_wday=3, tm_yday=302, tm_isdst=-1);;81593;4295259;MirellJ;4292959;2;;9102;
;417910;Rinoviirus;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=15, tm_hour=19, tm_min=37, tm_sec=39, tm_wday=6, tm_yday=319, tm_isdst=-1);;82021;4309148;Mittkarl;4288206;0;;13132;
;268152;Geeniregulatsioon;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=4, tm_hour=22, tm_min=20, tm_sec=32, tm_wday=2, tm_yday=308, tm_isdst=-1);;82030;4299299;Mschamardin;4299298;0;;8615;
Uus lehekülg: 'Tsükliinid on rühm valke, mis kontrollivad raku arengut läbi [[Rakutsükkel|rakutsükli]], aktiveerides [[Tsükliinisõltuvad kinaasid|tsükliinsõltuvaid kinaase]] (CDK – ...';419253;Tsükliinid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=3, tm_hour=7, tm_min=22, tm_sec=51, tm_wday=1, tm_yday=307, tm_isdst=-1);;81687;4297967;RSchilf;0;0;;11566;
/* Klass B püüdurretseptor */;419236;Püüdurretseptorid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=13, tm_hour=10, tm_min=52, tm_sec=24, tm_wday=4, tm_yday=317, tm_isdst=-1);;81574;4307365;Rahelp;4307363;0;;14597;
;419975;Kasutaja:Ranel.Tammela/Alfa heeliks;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=19, tm_min=37, tm_sec=20, tm_wday=6, tm_yday=326, tm_isdst=-1);;83455;4313944;Ranel.Tammela;4313943;2;;10676;
Uus lehekülg: ''''DNA replikatsiooni initsiatsioon''' on [[DNA]] sünteesi esimene samm ehk sünteesi alustamine, millele järgnevad DNA-ahela elongatsioon ehk sünteesitava ahela pikendamine j...';419278;DNA replikatsiooni initsiatsioon;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=3, tm_hour=11, tm_min=26, tm_sec=6, tm_wday=1, tm_yday=307, tm_isdst=-1);;81587;4298160;Rgerda;0;0;;8977;
/* Teised kasutused */;419823;Kasutaja:Rvetik/Fibroblast;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=13, tm_min=18, tm_sec=22, tm_wday=0, tm_yday=327, tm_isdst=-1);;83448;4314438;Rvetik;4314437;2;;11012;
;291336;ATPaasid;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=5, tm_hour=10, tm_min=1, tm_sec=38, tm_wday=3, tm_yday=309, tm_isdst=-1);;81970;4299563;SSillamaa;3565006;0;;18213;
siselingid;417177;Kasutaja:TOjala/Mps1;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=11, tm_min=13, tm_sec=13, tm_wday=6, tm_yday=326, tm_isdst=-1);;81600;4313521;TOjala;4313482;2;;13193;
;416040;Kasutaja:Usarsiret/Sindbis viirus;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=8, tm_hour=15, tm_min=59, tm_sec=9, tm_wday=6, tm_yday=312, tm_isdst=-1);;82100;4302879;Usarsiret;4302873;2;;13571;
;420983;RTK;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=21, tm_hour=17, tm_min=18, tm_sec=10, tm_wday=5, tm_yday=325, tm_isdst=-1);;82569;4313202;APentjärv;4313200;0;;9993;
/* Geograafia */;419182;Kasutaja:EIndres/Kasari jõgi;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=10, tm_min=43, tm_sec=59, tm_wday=1, tm_yday=328, tm_isdst=-1);;83216;4315165;EIndres;4315164;2;;27745;
;419184;Kasutaja:Elinde00/Ajageograafia;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=14, tm_min=20, tm_sec=54, tm_wday=0, tm_yday=327, tm_isdst=-1);;82598;4314490;Elinde00;4314480;2;;13784;
/* Saarte Geopark */;390620;Geopark;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=14, tm_min=12, tm_sec=41, tm_wday=0, tm_yday=327, tm_isdst=-1);;71362;4314482;Elisabetkirsi;4311798;0;;22769;
;417908;Kasutaja:H.laius/rahvastikugeograafia;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=17, tm_min=56, tm_sec=27, tm_wday=6, tm_yday=326, tm_isdst=-1);;71134;4313859;H.laius;4313857;2;;13682;
;420793;Kasutaja arutelu:HVirro/NAO indeks;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=20, tm_hour=8, tm_min=12, tm_sec=43, tm_wday=4, tm_yday=324, tm_isdst=-1);;81971;4312192;HVirro;4311789;3;;2032;
;420242;Kasutaja arutelu:Jsapas/Valgevenelased;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=15, tm_hour=19, tm_min=27, tm_sec=16, tm_wday=6, tm_yday=319, tm_isdst=-1);;82037;4309144;Jsapas;4309139;3;;3104;
Pildiallkiri;420543;Kasutaja:KytasM2rt/Pedosfäär;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=23, tm_hour=16, tm_min=16, tm_sec=47, tm_wday=0, tm_yday=327, tm_isdst=-1);;71355;4314538;KytasM2rt;4314537;2;;15427;
